date,km,litres,price_per_litre,total_cost,notes
2019-05-11,000661,54.436,1.299,70.71,
2019-05-17,001088,34.498,1.259,43.43,
2019-05-24,001585,40.912,1.259,51.51,
2019-05-29,001950,25.482,1.239,31.57,
2019-06-01,002506,37.335,1.259,47.00,
2019-06-14,003092,48.380,1.169,56.56,
2019-06-23,003644,42.213,1.157,48.84,
2019-07-05,004159,37.435,1.202,45.00,
2019-07-13,004742,47.933,1.202,57.62,
2019-07-27,005353,45.647,1.219,55.64,
2019-08-01,005815,33.557,1.192,40.00,
2019-08-02,006253,30.728,1.216,37.37,
2019-08-04,006575,22.852,1.269,29.00,
2019-08-06,007299,46.339,1.199,55.56,
2019-08-19,007905,45.893,1.112,51.03,
2019-09-03,008499,45.873,1.123,51.52,
2019-09-17,009155,48.398,1.157,56.00,
2019-09-27,009528,28.426,1.109,31.52,
2019-10-11,009948,33.694,1.139,38.38,
2019-10-13,010378,28.859,1.120,32.32,
2019-10-28,010918,43.451,1.139,49.49,
2019-11-09,011459,46.995,1.139,53.53,
2019-11-16,011905,38.728,1.106,42.83,
2019-11-29,012323,37.315,1.072,40.00,
2019-12-09,012906,49.559,1.041,51.59,
2019-12-27,013512,51.957,1.147,59.59,
2020-01-03,014063,46.641,1.072,50.00,
2020-01-24,014537,38.913,1.105,43.00,
2020-02-04,014935,36.049,1.015,36.59,
2020-02-18,015440,46.906,1.002,47.00,
2020-02-28,015896,40.208,1.059,42.58,
2020-03-09,016317,37.090,0.976,37.00,
2020-04-05,016658,29.129,0.719,20.94,
2020-05-01,017160,38.603,0.748,28.88,
2020-06-07,017498,25.833,0.929,24.00,
2020-07-02,018161,46.970,1.022,48.00,
2020-07-18,018605,35.024,1.022,35.79,
2020-08-21,019269,46.043,1.009,46.46,
2020-08-29,019515,18.776,1.022,19.19,
2020-09-25,020015,36.361,0.979,35.60,
2020-10-16,020387,28.246,0.956,27.00,
2020-11-12,020884,39.295,0.949,37.29,
2020-12-05,021432,43.431,0.990,43.00,
2020-12-16,021961,44.093,0.990,43.65,
2021-01-08,022519,46.852,1.029,48.21,
2021-01-28,023059,47.136,1.082,51.00,
2021-02-20,023582,44.711,1.152,51.51,
2021-02-27,024034,38.329,1.162,44.54,
2021-03-21,024554,42.204,1.176,49.63,
2021-04-09,024935,32.428,1.189,38.56,
2021-05-12,025432,36.125,1.246,45.01,
2021-06-05,025940,37.087,1.308,48.51,
2021-06-13,026322,26.670,1.259,33.58,
2021-06-26,026961,42.387,1.239,52.52,
2021-07-09,027354,29.005,1.339,38.84,
2021-07-17,027985,40.252,1.330,53.54,
2021-08-03,028464,34.382,1.327,45.62,
2021-08-16,029061,42.296,1.324,56.00,
2021-08-31,029692,44.408,1.306,58.00,
2021-09-14,030384,50.262,1.366,68.66,
2021-10-04,030934,38.921,1.336,52.00,
2021-10-16,031525,42.215,1.398,59.02,
2021-11-01,032105,43.176,1.436,62.00,
2021-11-06,032657,41.824,1.449,60.60,
2021-11-13,033300,46.551,1.439,66.99,
2021-11-22,033916,44.690,1.432,64.00,
2021-11-26,034371,37.260,1.429,53.24,
2021-12-03,034828,37.806,1.402,53.00,
2021-12-14,035205,32.528,1.322,43.00,
2021-12-21,035436,19.912,1.319,26.26,
2021-12-28,036017,47.406,1.339,63.48,
2022-01-10,036457,35.223,1.319,46.46,
2022-02-28,036919,41.549,1.565,65.02,
2022-04-06,037357,34.740,1.695,58.88,
2022-05-02,037758,29.854,1.819,54.30,
2022-05-24,038268,37.707,1.989,75.00,
2022-06-03,038720,30.794,2.079,64.02,
2022-06-15,039195,34.194,1.989,68.01,
2022-06-22,039639,32.541,2.059,67.00,
2022-06-30,039894,18.377,1.979,36.37,
2022-07-04,040396,31.701,1.902,60.30,
2022-07-15,040759,27.335,1.832,50.08,
2022-07-27,041466,47.632,1.739,82.83,
2022-07-31,041965,33.941,1.729,58.68,
2022-08-08,042640,45.388,1.699,75.75,
2022-08-11,043180,37.304,1.679,62.63,
2022-08-18,043680,36.556,1.669,61.01,
2022-08-27,044105,29.685,1.599,47.47,
2022-08-31,044637,34.900,1.592,55.56,
2022-09-14,045053,28.890,1.489,43.02,
2022-09-23,045539,31.675,1.469,46.53,
2022-10-14,046135,43.200,1.659,71.65,
2022-10-28,046714,42.465,1.719,73.00,
2022-11-10,047280,41.649,1.649,68.68,
2022-11-18,047554,14.862,1.639,24.36,
2022-11-18,047803,24.694,1.539,38.00,
